objective,seed,arm,generator,sigma,n_cand,best_b80
func2C,1018,dial,keep,3.0,1000,-0.20106041268086283
func2C,1018,dial,keep,3.0,50,-0.19509286969516448
func2C,1018,dial,keep,10.0,1000,-0.17726128834951155
func2C,1018,dial,keep,10.0,50,-0.18733360422545758
func2C,1018,dial,keep,30.0,1000,-0.13056524505830788
func2C,1018,dial,keep,30.0,50,-0.18848725632635968
func2C,1018,dial,keep,100.0,1000,-0.13056524505830788
func2C,1018,dial,keep,100.0,50,-0.13111141688701466
func2C,1018,dial,flip,0.0,1000,-0.20433442716614786
func2C,1018,dial,flip,0.0,50,-0.20019010853904176
func2C,1018,dial,flip,1.0,1000,-0.1308048384179327
func2C,1018,dial,flip,1.0,50,-0.1746102521498402
func2C,1018,dial,flip,3.0,1000,-0.13056524505830788
func2C,1018,dial,flip,3.0,50,-0.13056524505830788
func2C,1018,dial,flip,10.0,1000,-0.1859055040939082
func2C,1018,dial,flip,10.0,50,-0.13056524505830788
func2C,1018,dial,flip,30.0,1000,-0.17543120131615259
func2C,1018,dial,flip,30.0,50,-0.13056524505830788
func2C,1018,dial,flip,100.0,1000,-0.13056524505830788
func2C,1018,dial,flip,100.0,50,-0.13056524505830788
func2C,1018,tpe_shared,own,-1,-1,-0.20205867315804732
func2C,1019,dial,keep,0.0,1000,-0.20632535578657468
func2C,1019,dial,keep,0.0,50,-0.20631656466305315
func2C,1019,dial,keep,1.0,1000,-0.20419958059277077
func2C,1019,dial,keep,1.0,50,-0.20530712398535425
func2C,1019,dial,keep,3.0,1000,0.0006204614485389492
func2C,1019,dial,keep,3.0,50,0.021006746195332125
func2C,1019,dial,keep,10.0,1000,-0.17256128315595515
func2C,1019,dial,keep,10.0,50,0.010284723864265898
func2C,1019,dial,keep,30.0,1000,-0.11734682967668304
func2C,1019,dial,keep,30.0,50,0.016356221137658434
func2C,1019,dial,keep,100.0,1000,-0.15931009476799815
func2C,1019,dial,keep,100.0,50,-0.011602351676375754
func2C,1019,dial,flip,0.0,1000,-0.2062285314875095
func2C,1019,dial,flip,0.0,50,-0.19013386885443734
func2C,1019,dial,flip,1.0,1000,-0.18157145709258163
func2C,1019,dial,flip,1.0,50,-0.13162981910433075
func2C,1019,dial,flip,3.0,1000,0.0057128435258927465
func2C,1019,dial,flip,3.0,50,0.02958667533863114
func2C,1019,dial,flip,10.0,1000,-0.04212383177276704
func2C,1019,dial,flip,10.0,50,-0.09511958538345715
func2C,1019,dial,flip,30.0,1000,-0.18550313452841624
func2C,1019,dial,flip,30.0,50,0.0011485874394638357
