objective,seed,generator,dedup,n_cand,best_b10,best_b40,best_b80,revisits
func2C,1014,flip,combination,1000,-0.1950451873567528,-0.2030835360896169,-0.20582192891263285,0
func2C,1014,flip,encoding,1000,-0.20603009739148748,-0.20603009739148748,-0.20617629636500903,0
func2C,1014,random,combination,1000,0.21196647065816784,0.038650327876621905,0.038650327876621905,0
func2C,1014,keep,combination,50,-0.20630660992866465,-0.20632503262025575,-0.20632503262025575,0
func2C,1014,keep,combination,200,-0.20630270767850725,-0.2063254710612778,-0.2063254710612778,0
func2C,1014,flip,combination,50,-0.18032319286896908,-0.18032319286896908,-0.19772433205050108,0
func2C,1014,flip,combination,200,-0.12503580466463646,-0.18417779527797215,-0.19530945876934988,0
func2C,1015,keep,combination,1000,-0.20632405712951196,-0.20632537999787176,-0.20632537999787176,0
func2C,1015,keep,encoding,1000,-0.20631453711777517,-0.2063251458924588,-0.2063254246729996,0
func2C,1015,flip,combination,1000,-0.206133541720543,-0.206133541720543,-0.206133541720543,0
func2C,1015,flip,encoding,1000,-0.1869938795823296,-0.20309434746473767,-0.20619194765115764,0
func2C,1015,random,combination,1000,0.041405202522088555,0.021905397455691023,0.021905397455691023,0
func2C,1015,keep,combination,50,-0.197083526423196,-0.20632245268130572,-0.20632245268130572,0
func2C,1015,keep,combination,200,-0.20632314246436886,-0.20632314246436886,-0.20632321847417412,0
func2C,1015,flip,combination,50,-0.15575988761931198,-0.15575988761931198,-0.17977967235244413,0
func2C,1015,flip,combination,200,-0.19059967667957295,-0.20467790552636683,-0.20467790552636683,0
func2C,1016,keep,combination,1000,-0.20632506851240132,-0.20632506851240132,-0.20632538052096971,0
func2C,1016,keep,encoding,1000,-0.20632423744370804,-0.20632533888398658,-0.20632533888398658,0
func2C,1016,flip,combination,1000,-0.19984389608908465,-0.20421277130632828,-0.20443253969992786,0
func2C,1016,flip,encoding,1000,-0.20222974817394931,-0.20222974817394931,-0.20576014646146223,0
