objective,seed,generator,sigma,n_cand,best_b80
func2C,1029,flip,100.0,1000,0.004735831139628684
func2C,1029,flip,100.0,50,0.022553311208636694
func2C,1030,keep,0.0,1000,-0.20632539461519853
func2C,1030,keep,0.0,50,-0.2063235225078773
func2C,1030,keep,1.0,1000,-0.20606856462612783
func2C,1030,keep,1.0,50,-0.19692444675231022
func2C,1030,keep,3.0,1000,-0.20627024152695705
func2C,1030,keep,3.0,50,0.0016779321732946842
func2C,1030,keep,10.0,1000,-0.18855068772442954
func2C,1030,keep,10.0,50,-0.17881458190655652
func2C,1030,keep,30.0,1000,0.016206586206990115
func2C,1030,keep,30.0,50,-0.0964265576682364
func2C,1030,keep,100.0,1000,-0.19659187449603596
func2C,1030,keep,100.0,50,0.0017288026506850102
func2C,1030,flip,0.0,1000,-0.2062742424733727
func2C,1030,flip,0.0,50,-0.16876400272254735
func2C,1030,flip,1.0,1000,-0.14773984932311685
func2C,1030,flip,1.0,50,-0.0778193688706947
func2C,1030,flip,3.0,1000,0.034830968713121885
func2C,1030,flip,3.0,50,-0.062158991840768965
func2C,1030,flip,10.0,1000,-0.12433812164226035
func2C,1030,flip,10.0,50,0.006229479036049049
func2C,1030,flip,30.0,1000,-0.03823162838202576
func2C,1030,flip,30.0,50,-0.010564093887221335
func2C,1030,flip,100.0,1000,-0.022176520350424035
func2C,1030,flip,100.0,50,-0.14743150770112337
func2C,1031,keep,0.0,1000,-0.20632523324077856
func2C,1031,keep,0.0,50,-0.2063101732527155
func2C,1031,keep,1.0,1000,-0.20472157583633216
func2C,1031,keep,1.0,50,-0.10176689585768912
func2C,1031,keep,3.0,1000,-0.1987544765983805
func2C,1031,keep,3.0,50,-0.19718013314906566
func2C,1031,keep,10.0,1000,-0.18404663765503437
func2C,1031,keep,10.0,50,-0.205570606338615
func2C,1031,keep,30.0,1000,-0.002872873965864531
func2C,1031,keep,30.0,50,-0.16959387198097592
func2C,1031,keep,100.0,1000,0.00016146619495018832
func2C,1031,keep,100.0,50,-0.20553064296901002
func2C,1031,flip,0.0,1000,-0.20402250716625098
func2C,1031,flip,0.0,50,-0.20508611971171065
func2C,1031,flip,1.0,1000,-0.20416103443059197
func2C,1031,flip,1.0,50,-0.05546834351455136
func2C,1031,flip,3.0,1000,-0.05328601396970507
func2C,1031,flip,3.0,50,-0.1826332078084312
func2C,1031,flip,10.0,1000,-0.1715637416070654
func2C,1031,flip,10.0,50,-0.13676343088530904
func2C,1031,flip,30.0,1000,0.02992182785402342
func2C,1031,flip,30.0,50,0.04362547265241501
func2C,1031,flip,100.0,1000,0.004223583000380707
func2C,1031,flip,100.0,50,0.020478190610929037
func2C,1032,keep,0.0,1000,-0.20632515104148355
func2C,1032,keep,0.0,50,-0.20630976440037924
func2C,1032,keep,1.0,1000,-0.20246473699095513
func2C,1032,keep,1.0,50,-0.20627739246292323
func2C,1032,keep,3.0,1000,0.02094651104925127
func2C,1032,keep,3.0,50,-0.16951746534627005
func2C,1032,keep,10.0,1000,-0.12841026371880604
func2C,1032,keep,10.0,50,-0.08206503640279475
