objective,seed,surrogate,generator,dedup,best_b10,best_b40,best_b80,revisits
func2C,1020,gp,keep,combination,0.04480175310254016,0.04480175310254016,0.03149998127779999,0
func2C,1020,gp,keep,encoding,0.21070731067662535,0.06931542536418572,0.06931542536418572,0
func2C,1020,gp,flip,combination,0.13665779743346906,0.05207878073997547,0.0219392987315939,0
func2C,1020,gp,flip,encoding,0.21070731067662535,0.05792300419830068,0.02132535671904384,0
func2C,1020,rf,keep,combination,-0.19229455790185623,-0.1995878719476371,-0.1995878719476371,0
func2C,1020,rf,keep,encoding,0.09186937782014018,0.0022922861515519144,-0.042973559990047705,0
func2C,1020,rf,flip,combination,-0.12732845064702447,-0.15267769353369623,-0.15267769353369623,0
func2C,1020,rf,flip,encoding,0.08518468824345352,0.08518468824345352,0.014092647811120825,0
func2C,1020,tpe,own,own,0.09122194270208926,0.0570239423940657,0.05607466035854058,0
func2C,1020,random,random,combination,0.04735866402933809,-0.005092809784281773,-0.005092809784281773,0
func2C,1021,gp,keep,combination,-0.1771738848025153,-0.1771738848025153,-0.20329027502877667,0
func2C,1021,gp,keep,encoding,0.047384265393942984,-0.008746851118169951,-0.008746851118169951,0
func2C,1021,gp,flip,combination,0.0029307170137545663,-0.0019016073204271046,-0.09489682785919014,0
func2C,1021,gp,flip,encoding,-0.0038486108654966515,-0.0038486108654966515,-0.05044392558775508,0
func2C,1021,rf,keep,combination,0.047384265393942984,0.014636807233393567,-0.031090583583276165,0
func2C,1021,rf,keep,encoding,-0.1403327285456263,-0.1403327285456263,-0.1403327285456263,0
func2C,1021,rf,flip,combination,0.017461499623157527,-0.1520273664664878,-0.1520273664664878,0
func2C,1021,rf,flip,encoding,0.005924271358819143,0.0033705389825000377,0.0033705389825000377,0
func2C,1021,tpe,own,own,0.07331567460758215,-0.12807980112895673,-0.19663841265432888,0
func2C,1021,random,random,combination,0.047384265393942984,0.047384265393942984,0.047384265393942984,0
func2C,1022,gp,keep,combination,0.027484874716935864,0.003998220774603611,0.003998220774603611,0
func2C,1022,gp,keep,encoding,0.13644642877678592,0.0014348287352466387,-0.141124508199939,0
func2C,1022,gp,flip,combination,0.0001065636548711335,0.0001065636548711335,0.0001065636548711335,0
func2C,1022,gp,flip,encoding,0.184183628034422,-0.08886352856495479,-0.19850708783303267,0
func2C,1022,rf,keep,combination,0.008531564786909668,0.0017588261813748854,0.0017588261813748854,0
func2C,1022,rf,keep,encoding,0.21864468944461993,0.07656380383716722,0.025065248736204176,0
func2C,1022,rf,flip,combination,-0.20479034639401644,-0.20479034639401644,-0.20479034639401644,0
func2C,1022,rf,flip,encoding,-0.2033881174356925,-0.2033881174356925,-0.2033881174356925,0
func2C,1022,tpe,own,own,0.08469650480833332,0.009387779395664741,0.00048683264905171816,0
func2C,1022,random,random,combination,0.25593562524733343,0.015621604719248717,0.015621604719248717,0
func2C,1023,gp,keep,combination,0.20272736046860407,0.18367574226087707,-0.20610060245105322,0
func2C,1023,gp,keep,encoding,0.4408849004936978,0.002432317083457333,-0.08494507894319317,0
func2C,1023,gp,flip,combination,-0.02083893644602399,-0.025732525114392436,-0.1656254532580328,0
func2C,1023,gp,flip,encoding,0.24507097599752642,0.016263034450158483,-0.011300272075535035,0
func2C,1023,rf,keep,combination,0.04933981223427977,0.02186436422615054,0.009703687745493883,0
func2C,1023,rf,keep,encoding,0.05191347662414724,0.049315946649007555,-0.01931121713996804,0
func2C,1023,rf,flip,combination,0.07363966655121144,0.03277992611679587,0.021079973374299323,0
func2C,1023,rf,flip,encoding,0.10540250153554283,0.08522639154786554,-0.08113896097820045,0
func2C,1023,tpe,own,own,-0.05166593388469236,-0.18483339319478337,-0.2062703004013414,0
